config,params_M,accuracy,f1,auc,ece
Baseline,10.52702,99.21259842519686,99.19525782346795,0.9996833273307058,0.01855381421112536
+ AMSM,15.582093,99.30008748906387,99.2978896802558,0.9998814101652646,0.023565705340886887
+ DAM,10.548216,99.21259842519686,99.20382382940652,0.9998178365394856,0.0209042599664273
HSANet (Full),15.603289,99.21259842519686,99.20893266055323,0.999859767396045,0.016337236185816395
